case,label,organ,dice
s0050,13,lung_middle_lobe_right,0.98
s0050,14,lung_lower_lobe_right,0.9922
s0169,10,lung_upper_lobe_left,0.9725
s0169,11,lung_lower_lobe_left,0.4535
s0169,12,lung_upper_lobe_right,0.948
s0069,10,lung_upper_lobe_left,0.6794
s0069,11,lung_lower_lobe_left,0.9874
s0069,13,lung_middle_lobe_right,0.5455
s0069,14,lung_lower_lobe_right,0.9917
s0212,10,lung_upper_lobe_left,0.8325
s0212,11,lung_lower_lobe_left,0.7602
s0212,12,lung_upper_lobe_right,0.3693
s0212,13,lung_middle_lobe_right,0.9402
s0212,14,lung_lower_lobe_right,0.94
s0319,10,lung_upper_lobe_left,0.7929
s0319,11,lung_lower_lobe_left,0.8878
s0319,12,lung_upper_lobe_right,0.0
s0319,13,lung_middle_lobe_right,0.9737
s0319,14,lung_lower_lobe_right,0.972
s0163,10,lung_upper_lobe_left,0.9939
s0163,11,lung_lower_lobe_left,0.9917
s0163,12,lung_upper_lobe_right,0.9908
s0163,13,lung_middle_lobe_right,0.9823
s0163,14,lung_lower_lobe_right,0.9919
s0045,10,lung_upper_lobe_left,0.9841
s0045,11,lung_lower_lobe_left,0.9927
s0045,12,lung_upper_lobe_right,0.1166
s0045,13,lung_middle_lobe_right,0.9875
s0045,14,lung_lower_lobe_right,0.9933
s0038,10,lung_upper_lobe_left,0.969
s0038,11,lung_lower_lobe_left,0.9938
s0038,13,lung_middle_lobe_right,0.9538
s0038,14,lung_lower_lobe_right,0.993
s0233,11,lung_lower_lobe_left,0.5034
s0211,10,lung_upper_lobe_left,0.9451
s0211,11,lung_lower_lobe_left,0.9882
s0211,12,lung_upper_lobe_right,0.5567
s0211,13,lung_middle_lobe_right,0.9666
s0211,14,lung_lower_lobe_right,0.9948
s0192,10,lung_upper_lobe_left,0.6802
s0192,11,lung_lower_lobe_left,0.8899
s0192,13,lung_middle_lobe_right,0.7059
s0192,14,lung_lower_lobe_right,0.8778
s0306,10,lung_upper_lobe_left,0.9204
s0306,11,lung_lower_lobe_left,0.9018
s0306,13,lung_middle_lobe_right,0.0
s0306,14,lung_lower_lobe_right,0.9229
s0253,10,lung_upper_lobe_left,0.9904
s0253,11,lung_lower_lobe_left,0.8891
s0253,12,lung_upper_lobe_right,0.9888
s0253,13,lung_middle_lobe_right,0.964
s0253,14,lung_lower_lobe_right,0.9836
s0042,10,lung_upper_lobe_left,0.9821
s0042,11,lung_lower_lobe_left,0.9931
s0042,13,lung_middle_lobe_right,0.9754
s0042,14,lung_lower_lobe_right,0.9932
s0043,10,lung_upper_lobe_left,0.7264
s0043,12,lung_upper_lobe_right,0.8697
s0162,10,lung_upper_lobe_left,0.9935
s0162,11,lung_lower_lobe_left,0.9905
s0162,12,lung_upper_lobe_right,0.9841
s0162,13,lung_middle_lobe_right,0.9702
s0162,14,lung_lower_lobe_right,0.9879
s0235,10,lung_upper_lobe_left,0.8359
s0235,11,lung_lower_lobe_left,0.9643
s0235,13,lung_middle_lobe_right,0.9619
s0235,14,lung_lower_lobe_right,0.9843
s0342,10,lung_upper_lobe_left,0.9781
s0342,11,lung_lower_lobe_left,0.9917
s0342,13,lung_middle_lobe_right,0.9889
s0342,14,lung_lower_lobe_right,0.9949
s0334,10,lung_upper_lobe_left,0.9892
s0334,11,lung_lower_lobe_left,0.9826
s0334,12,lung_upper_lobe_right,0.9825
s0334,13,lung_middle_lobe_right,0.9811
s0334,14,lung_lower_lobe_right,0.9837
s0227,10,lung_upper_lobe_left,0.9184
s0227,11,lung_lower_lobe_left,0.9871
s0227,13,lung_middle_lobe_right,0.9546
s0227,14,lung_lower_lobe_right,0.9868
s0123,10,lung_upper_lobe_left,0.9936
s0123,11,lung_lower_lobe_left,0.9879
s0123,12,lung_upper_lobe_right,0.9871
s0123,13,lung_middle_lobe_right,0.9716
s0123,14,lung_lower_lobe_right,0.9904
s0247,10,lung_upper_lobe_left,0.9444
s0247,11,lung_lower_lobe_left,0.9904
s0247,13,lung_middle_lobe_right,0.9776
s0247,14,lung_lower_lobe_right,0.9841
s0305,10,lung_upper_lobe_left,0.9547
s0305,11,lung_lower_lobe_left,0.9772
s0305,12,lung_upper_lobe_right,0.0
s0305,13,lung_middle_lobe_right,0.9079
s0305,14,lung_lower_lobe_right,0.9769
s0145,10,lung_upper_lobe_left,0.9914
s0145,11,lung_lower_lobe_left,0.9882
s0145,12,lung_upper_lobe_right,0.9813
s0145,13,lung_middle_lobe_right,0.966
s0145,14,lung_lower_lobe_right,0.9914
s0331,10,lung_upper_lobe_left,0.991
s0331,11,lung_lower_lobe_left,0.9778
s0331,12,lung_upper_lobe_right,0.9807
s0331,13,lung_middle_lobe_right,0.9342
s0331,14,lung_lower_lobe_right,0.947
s0089,10,lung_upper_lobe_left,0.6533
s0089,11,lung_lower_lobe_left,0.9874
s0089,13,lung_middle_lobe_right,0.963
s0089,14,lung_lower_lobe_right,0.9931
s0035,10,lung_upper_lobe_left,0.9939
s0035,11,lung_lower_lobe_left,0.9913
s0035,12,lung_upper_lobe_right,0.9892
s0035,13,lung_middle_lobe_right,0.9577
s0035,14,lung_lower_lobe_right,0.9853
s0213,10,lung_upper_lobe_left,0.9462
s0213,11,lung_lower_lobe_left,0.9829
s0213,13,lung_middle_lobe_right,0.9738
s0213,14,lung_lower_lobe_right,0.9551
s0353,11,lung_lower_lobe_left,0.9495
s0353,13,lung_middle_lobe_right,0.7408
