case,label,organ,dice
s0355,14,lung_lower_lobe_right,0.3098
s0052,10,lung_upper_lobe_left,0.0001
s0052,11,lung_lower_lobe_left,0.6892
s0052,13,lung_middle_lobe_right,0.0829
s0052,14,lung_lower_lobe_right,0.5618
s0243,10,lung_upper_lobe_left,0.3647
s0243,11,lung_lower_lobe_left,0.7347
s0243,13,lung_middle_lobe_right,0.0491
s0243,14,lung_lower_lobe_right,0.4214
s0108,10,lung_upper_lobe_left,0.3045
s0108,11,lung_lower_lobe_left,0.6787
s0108,13,lung_middle_lobe_right,0.0
s0108,14,lung_lower_lobe_right,0.3164
s0086,10,lung_upper_lobe_left,0.0009
s0086,11,lung_lower_lobe_left,0.0
s0086,12,lung_upper_lobe_right,0.108
s0086,13,lung_middle_lobe_right,0.0956
s0086,14,lung_lower_lobe_right,0.2164
s0107,10,lung_upper_lobe_left,0.1741
s0107,11,lung_lower_lobe_left,0.0781
s0107,12,lung_upper_lobe_right,0.0
s0107,13,lung_middle_lobe_right,0.0966
s0107,14,lung_lower_lobe_right,0.1152
s0304,10,lung_upper_lobe_left,0.0
s0304,11,lung_lower_lobe_left,0.6839
s0304,14,lung_lower_lobe_right,0.5992
s0344,10,lung_upper_lobe_left,0.7334
s0344,11,lung_lower_lobe_left,0.6832
s0344,12,lung_upper_lobe_right,0.7
s0344,13,lung_middle_lobe_right,0.4212
s0344,14,lung_lower_lobe_right,0.5273
s0262,10,lung_upper_lobe_left,0.0514
s0262,11,lung_lower_lobe_left,0.0228
s0262,12,lung_upper_lobe_right,0.0
s0262,13,lung_middle_lobe_right,0.158
s0262,14,lung_lower_lobe_right,0.0926
s0012,10,lung_upper_lobe_left,0.7628
s0012,11,lung_lower_lobe_left,0.9155
s0012,12,lung_upper_lobe_right,0.1019
s0012,13,lung_middle_lobe_right,0.7489
s0012,14,lung_lower_lobe_right,0.8269
s0245,10,lung_upper_lobe_left,0.2546
s0245,11,lung_lower_lobe_left,0.7562
s0245,12,lung_upper_lobe_right,0.0
s0245,13,lung_middle_lobe_right,0.1805
s0245,14,lung_lower_lobe_right,0.325
s0314,10,lung_upper_lobe_left,0.0
s0314,11,lung_lower_lobe_left,0.0001
s0314,13,lung_middle_lobe_right,0.0
s0314,14,lung_lower_lobe_right,0.0
s0242,10,lung_upper_lobe_left,0.0
s0242,11,lung_lower_lobe_left,0.0
s0242,13,lung_middle_lobe_right,0.0
s0147,10,lung_upper_lobe_left,0.1986
s0147,11,lung_lower_lobe_left,0.6853
s0147,12,lung_upper_lobe_right,0.0
s0147,13,lung_middle_lobe_right,0.3809
s0147,14,lung_lower_lobe_right,0.5456
s0221,14,lung_lower_lobe_right,0.0
