case,label,organ,dice
s0245,12,lung_upper_lobe_right,0.0
s0245,13,lung_middle_lobe_right,0.9555
s0245,14,lung_lower_lobe_right,0.9806
s0314,10,lung_upper_lobe_left,0.4929
s0314,11,lung_lower_lobe_left,0.8643
s0314,13,lung_middle_lobe_right,0.1102
s0314,14,lung_lower_lobe_right,0.8536
s0242,10,lung_upper_lobe_left,0.0
s0242,11,lung_lower_lobe_left,0.0
s0242,13,lung_middle_lobe_right,0.0
s0147,10,lung_upper_lobe_left,0.939
s0147,11,lung_lower_lobe_left,0.9773
s0147,12,lung_upper_lobe_right,0.0
s0147,13,lung_middle_lobe_right,0.6393
s0147,14,lung_lower_lobe_right,0.9728
s0221,14,lung_lower_lobe_right,0.0
